User_ID,Recommended_User,Compatibility,Feedback,Updated_Compatibility
U001,U044,57.85,1,62.85
U001,U036,55.4,1,60.4
U001,U002,48.14,0,43.14
U001,U068,43.73,1,48.73
U001,U021,41.56,1,46.56
U002,U001,48.14,1,53.14
U002,U044,45.42,1,50.42
U002,U075,44.25,1,49.25
U002,U036,44.02,1,49.02
U002,U038,43.45,0,38.45
U003,U074,66.29,0,61.290000000000006
U003,U097,59.5,0,54.5
U003,U018,57.42,1,62.42
U003,U069,57.42,1,62.42
U003,U087,39.91,0,34.91
U004,U049,66.97,1,71.97
U004,U063,62.63,1,67.63
U004,U031,60.86,0,55.86
U004,U062,59.82,0,54.82
U004,U007,48.37,1,53.37
U005,U064,72.5,1,77.5
U005,U090,71.66,1,76.66
U005,U058,67.65,0,62.650000000000006
U005,U046,65.55,1,70.55
U005,U018,33.86,0,28.86
U006,U087,76.24,0,71.24
U006,U054,66.58,1,71.58
U006,U038,59.71,1,64.71000000000001
U006,U075,54.35,1,59.35
U006,U044,42.45,0,37.45
U007,U086,63.39,1,68.39
U007,U053,59.66,1,64.66
U007,U049,48.4,1,53.4
U007,U004,48.37,1,53.37
U007,U098,46.86,0,41.86
U008,U011,66.47,0,61.47
U008,U078,65.51,1,70.51
U008,U015,60.57,1,65.57
U008,U035,59.84,0,54.84
U008,U056,39.46,0,34.46
U009,U045,70.06,1,75.06
U009,U093,58.71,1,63.71
U009,U055,58.56,0,53.56
U009,U066,57.74,0,52.74
U009,U094,49.01,0,44.01
U010,U088,61.36,1,66.36
U010,U019,61.3,1,66.3
U010,U080,60.11,1,65.11
U010,U067,54.01,0,49.01
U010,U040,49.37,0,44.37
U011,U078,67.23,1,72.23
U011,U008,66.47,0,61.47
U011,U035,66.45,0,61.45
U011,U015,62.19,1,67.19
U011,U043,37.35,1,42.35
U012,U099,62.5,1,67.5
U012,U092,62.36,1,67.36
U012,U019,55.38,0,50.38
U012,U089,52.21,0,47.21
U012,U080,46.57,0,41.57
U013,U033,62.81,0,57.81
U013,U014,60.63,1,65.63
U013,U057,55.63,1,60.63
U013,U073,54.34,1,59.34
U013,U047,45.38,1,50.38
U014,U033,64.27,0,59.269999999999996
U014,U013,60.63,0,55.63
U014,U073,59.13,1,64.13
U014,U057,57.04,1,62.04
U014,U081,52.74,1,57.74
U015,U078,66.81,1,71.81
U015,U035,65.31,1,70.31
U015,U011,62.19,1,67.19
U015,U008,60.57,0,55.57
U015,U085,40.24,0,35.24
U016,U032,60.28,0,55.28
U016,U052,57.03,1,62.03
U016,U017,55.12,0,50.12
U016,U026,47.05,1,52.05
U016,U075,41.35,1,46.35
U017,U032,57.58,1,62.58
U017,U016,55.12,0,50.12
U017,U052,49.64,0,44.64
U017,U026,49.3,1,54.3
U017,U075,46.73,0,41.73
U018,U074,69.62,0,64.62
U018,U097,64.98,1,69.98
U018,U069,60.9,0,55.9
U018,U003,57.42,1,62.42
U018,U058,44.51,1,49.51
U019,U088,67.32,1,72.32
U019,U010,61.3,0,56.3
U019,U099,57.84,0,52.84
U019,U040,56.71,1,61.71
U019,U012,55.38,1,60.38
U020,U056,69.77,1,74.77
U020,U043,52.69,1,57.69
U020,U041,51.89,1,56.89
U020,U096,48.88,0,43.88
U020,U036,45.38,0,40.38
U021,U030,55.78,1,60.78
U021,U050,54.72,1,59.72
U021,U095,51.54,0,46.54
U021,U023,48.94,0,43.94
U021,U001,41.56,1,46.56
U022,U093,49.98,1,54.98
U022,U071,49.84,0,44.84
U022,U042,48.5,0,43.5
U022,U070,48.29,1,53.29
U022,U059,47.5,0,42.5
U023,U095,62.86,0,57.86
U023,U050,49.12,1,54.12
U023,U021,48.94,0,43.94
U023,U030,43.86,0,38.86
U023,U062,40.08,1,45.08
U024,U037,63.64,0,58.64
U024,U085,61.45,1,66.45
U024,U051,47.31,1,52.31
U024,U072,42.04,1,47.04
U024,U033,38.46,0,33.46
U025,U065,66.23,1,71.23
U025,U027,56.33,0,51.33
U025,U100,55.15,1,60.15
U025,U079,52.22,1,57.22
U025,U042,35.95,0,30.950000000000003
U026,U032,63.1,1,68.1
U026,U017,49.3,1,54.3
U026,U052,48.7,1,53.7
U026,U016,47.05,0,42.05
U026,U054,43.17,0,38.17
U027,U100,80.4,1,85.4
U027,U079,63.87,0,58.87
U027,U065,63.07,0,58.07
U027,U025,56.33,0,51.33
U027,U084,39.58,0,34.58
U028,U082,66.2,1,71.2
U028,U083,57.37,0,52.37
U028,U077,57.21,0,52.21
U028,U094,50.86,0,45.86
U028,U093,50.72,1,55.72
U029,U039,58.83,1,63.83
U029,U084,57.56,0,52.56
U029,U091,56.98,0,51.98
U029,U076,54.87,1,59.87
U029,U026,37.31,1,42.31
U030,U050,78.25,1,83.25
U030,U095,69.46,1,74.46
U030,U021,55.78,1,60.78
U030,U023,43.86,1,48.86
U030,U096,43.16,1,48.16
U031,U040,61.6,1,66.6
U031,U004,60.86,1,65.86
U031,U049,60.2,1,65.2
U031,U063,55.77,0,50.77
U031,U062,53.52,1,58.52
U032,U052,64.37,1,69.37
U032,U026,63.1,0,58.1
U032,U016,60.28,0,55.28
U032,U017,57.58,0,52.58
U032,U068,43.65,0,38.65
U033,U057,65.3,1,70.3
U033,U014,64.27,1,69.27
U033,U013,62.81,1,67.81
U033,U073,59.94,0,54.94
U033,U060,55.08,0,50.08
U034,U047,62.67,1,67.67
U034,U048,58.84,0,53.84
U034,U073,48.63,1,53.63
U034,U060,47.39,1,52.39
U034,U014,46.34,1,51.34
U035,U078,67.79,1,72.79
