user_id,matched_user_id,action,timestamp,text_score,mbti_score,skill_score,location_score,experience_score,compatibility_score
U001,U006,0,2026-08-01 09:37:00,27.5,70.0,28.57,0.0,80.0,36.04
U001,U038,0,2026-08-06 20:31:00,29.87,60.0,33.33,0.0,50.0,34.44
U001,U091,0,2026-08-12 23:28:00,6.1,65.0,0.0,0.0,50.0,18.55
U001,U099,0,2026-08-20 04:06:00,7.47,75.0,0.0,0.0,50.0,21.23
U001,U020,1,2026-08-03 10:35:00,27.08,85.0,28.57,0.0,50.0,37.33
U002,U015,0,2026-08-26 07:07:00,7.49,75.0,14.29,0.0,50.0,23.39
U002,U017,0,2026-08-07 11:22:00,16.73,70.0,14.29,0.0,90.0,29.01
U002,U050,0,2026-08-23 05:49:00,11.55,55.0,14.29,0.0,70.0,22.42
U002,U021,1,2026-08-30 05:57:00,10.15,85.0,28.57,0.0,50.0,28.86
U002,U014,1,2026-08-30 18:42:00,20.32,60.0,14.29,0.0,100.0,29.3
U003,U011,1,2026-08-11 03:17:00,4.89,85.0,0.0,0.0,70.0,22.94
U003,U068,0,2026-08-04 04:31:00,11.16,65.0,14.29,0.0,100.0,25.72
U003,U081,0,2026-08-03 00:39:00,3.44,55.0,0.0,100.0,70.0,26.22
U003,U015,1,2026-08-10 01:32:00,5.23,80.0,14.29,0.0,50.0,23.26
U003,U076,1,2026-08-04 21:11:00,2.01,85.0,0.0,100.0,90.0,32.5
U004,U077,0,2026-08-10 04:56:00,14.59,100.0,16.67,0.0,100.0,34.8
U004,U036,0,2026-08-14 02:53:00,8.29,100.0,0.0,0.0,50.0,26.65
U004,U049,0,2026-08-03 00:37:00,68.8,100.0,57.14,0.0,80.0,66.97
U004,U095,0,2026-08-30 08:34:00,27.6,100.0,0.0,0.0,100.0,38.8
U004,U025,0,2026-08-29 12:52:00,8.93,55.0,0.0,0.0,90.0,19.97
U005,U087,0,2026-08-28 01:26:00,4.6,65.0,16.67,0.0,90.0,22.3
U005,U095,1,2026-08-13 22:51:00,4.8,85.0,0.0,0.0,90.0,23.9
U005,U021,0,2026-08-03 20:52:00,5.11,75.0,16.67,0.0,50.0,22.55
U005,U075,0,2026-08-07 13:53:00,5.86,60.0,0.0,0.0,100.0,19.93
U005,U041,0,2026-08-16 15:01:00,5.57,65.0,0.0,0.0,80.0,19.79
U006,U060,0,2026-08-30 21:15:00,4.88,55.0,0.0,0.0,90.0,17.94
U006,U045,1,2026-08-02 02:35:00,2.84,100.0,0.0,0.0,90.0,25.92
U006,U051,1,2026-08-02 05:35:00,11.43,85.0,14.29,0.0,70.0,28.36
U006,U013,0,2026-08-13 10:02:00,4.85,80.0,14.29,0.0,70.0,24.07
U006,U093,1,2026-08-19 12:57:00,4.58,70.0,0.0,0.0,50.0,18.79
U007,U024,0,2026-08-10 16:41:00,16.3,40.0,0.0,0.0,60.0,19.15
U007,U026,0,2026-08-25 17:36:00,7.05,55.0,0.0,0.0,90.0,19.03
U007,U092,0,2026-08-19 16:57:00,12.44,85.0,14.29,0.0,70.0,28.86
U007,U096,1,2026-08-30 20:59:00,11.35,100.0,0.0,0.0,70.0,29.17
U007,U008,0,2026-08-04 04:06:00,7.23,75.0,0.0,0.0,50.0,21.11
U008,U066,0,2026-08-24 19:32:00,3.81,75.0,14.29,0.0,50.0,21.55
U008,U016,1,2026-08-27 17:00:00,7.72,80.0,0.0,0.0,50.0,22.36
U008,U076,0,2026-08-24 20:24:00,5.08,90.0,0.0,0.0,50.0,23.04
U008,U046,1,2026-08-25 11:33:00,2.13,55.0,20.0,0.0,100.0,20.07
U008,U035,1,2026-08-26 11:53:00,76.68,65.0,40.0,0.0,50.0,59.84
U009,U035,0,2026-08-27 01:45:00,5.56,60.0,0.0,0.0,100.0,19.78
U009,U070,0,2026-08-30 21:43:00,35.6,70.0,14.29,0.0,70.0,37.44
U009,U019,0,2026-08-02 15:07:00,5.65,65.0,0.0,100.0,90.0,30.32
U009,U071,1,2026-08-29 08:15:00,44.63,70.0,33.33,0.0,80.0,45.32
U009,U075,0,2026-08-21 17:00:00,3.65,75.0,0.0,0.0,90.0,21.32
U010,U062,0,2026-08-10 09:41:00,15.66,80.0,0.0,0.0,90.0,28.33
U010,U083,0,2026-08-17 14:02:00,6.79,85.0,0.0,0.0,50.0,22.89
U010,U021,0,2026-08-08 06:29:00,8.63,70.0,0.0,0.0,50.0,20.81
U010,U038,0,2026-08-12 10:14:00,6.67,50.0,0.0,100.0,90.0,27.83
U010,U074,1,2026-08-05 05:56:00,8.82,65.0,0.0,0.0,90.0,21.91
U011,U091,1,2026-08-08 23:19:00,2.84,60.0,0.0,100.0,70.0,26.92
U011,U083,1,2026-08-03 03:16:00,2.67,100.0,0.0,0.0,50.0,23.83
U011,U094,1,2026-08-07 03:46:00,10.37,65.0,20.0,0.0,80.0,25.18
U011,U021,0,2026-08-25 04:10:00,3.7,55.0,16.67,0.0,50.0,17.85
U011,U079,1,2026-08-15 22:44:00,4.96,50.0,0.0,0.0,100.0,17.48
U012,U061,0,2026-08-17 09:16:00,8.52,85.0,0.0,0.0,90.0,25.76
U012,U055,0,2026-08-27 20:09:00,6.17,100.0,0.0,0.0,100.0,28.09
U012,U040,0,2026-08-21 12:54:00,56.59,50.0,20.0,0.0,80.0,45.29
U012,U009,1,2026-08-09 09:40:00,8.29,70.0,0.0,100.0,90.0,32.64
U012,U045,0,2026-08-06 17:45:00,7.77,50.0,0.0,0.0,50.0,16.39
U013,U025,0,2026-08-05 05:42:00,3.15,55.0,0.0,0.0,50.0,15.08
U013,U049,0,2026-08-30 18:41:00,5.81,100.0,0.0,0.0,50.0,25.4
U013,U040,1,2026-08-06 19:47:00,5.31,80.0,16.67,0.0,50.0,23.66
U013,U057,1,2026-08-09 03:23:00,61.25,75.0,50.0,0.0,50.0,55.63
U013,U032,0,2026-08-09 17:44:00,5.23,60.0,0.0,0.0,50.0,17.12
U014,U051,0,2026-08-05 00:28:00,14.19,80.0,14.29,0.0,60.0,28.24
U014,U069,0,2026-08-28 10:41:00,5.96,85.0,0.0,0.0,100.0,24.98
U014,U025,0,2026-08-23 20:51:00,4.61,70.0,0.0,0.0,100.0,21.3
U014,U034,1,2026-08-15 11:57:00,52.39,65.0,14.29,0.0,100.0,46.34
U014,U015,0,2026-08-17 03:31:00,3.73,85.0,0.0,0.0,50.0,21.37
U015,U071,0,2026-08-09 08:30:00,7.25,70.0,28.57,0.0,50.0,24.41
U015,U084,0,2026-08-22 20:18:00,2.06,85.0,0.0,0.0,50.0,20.53
U015,U014,0,2026-08-17 01:55:00,3.73,85.0,0.0,0.0,50.0,21.37
U015,U002,1,2026-08-14 10:30:00,7.49,75.0,14.29,0.0,50.0,23.39
U015,U088,1,2026-08-26 13:00:00,1.55,65.0,0.0,0.0,50.0,16.27
U016,U044,0,2026-08-26 23:20:00,12.47,90.0,16.67,0.0,50.0,29.23
U016,U006,0,2026-08-21 20:34:00,21.59,55.0,0.0,0.0,50.0,24.3
U016,U012,1,2026-08-31 03:16:00,3.03,75.0,0.0,0.0,80.0,20.52
U016,U073,0,2026-08-03 20:01:00,1.93,55.0,0.0,0.0,90.0,16.47
U016,U043,0,2026-08-25 16:58:00,16.67,90.0,0.0,0.0,90.0,30.83
U017,U006,0,2026-08-29 04:05:00,21.39,55.0,28.57,0.0,50.0,28.48
U017,U015,0,2026-08-04 02:17:00,3.59,75.0,0.0,0.0,50.0,19.3
U017,U013,1,2026-08-23 11:22:00,4.83,75.0,0.0,0.0,50.0,19.91
U017,U040,0,2026-08-26 03:15:00,3.09,55.0,0.0,0.0,90.0,17.05
U017,U004,0,2026-08-06 05:34:00,7.57,75.0,0.0,0.0,100.0,23.78
U018,U092,1,2026-08-20 05:13:00,10.12,80.0,14.29,0.0,100.0,28.2
U018,U054,0,2026-08-18 03:07:00,5.22,55.0,0.0,0.0,50.0,16.11
U018,U086,0,2026-08-05 23:27:00,4.57,75.0,0.0,0.0,60.0,20.28
U018,U044,0,2026-08-27 09:58:00,13.49,100.0,0.0,0.0,60.0,29.74
U018,U060,0,2026-08-26 20:56:00,17.73,90.0,0.0,0.0,50.0,29.36
U019,U061,0,2026-08-05 15:16:00,6.56,50.0,0.0,0.0,70.0,16.78
U019,U014,0,2026-08-05 07:35:00,2.05,80.0,0.0,0.0,100.0,22.02
U019,U016,0,2026-08-07 23:45:00,1.63,70.0,0.0,0.0,100.0,19.82
U019,U003,1,2026-08-28 11:55:00,7.05,85.0,14.29,0.0,70.0,26.17
U019,U082,1,2026-08-02 07:22:00,5.23,85.0,0.0,0.0,90.0,24.11
U020,U015,1,2026-08-25 00:18:00,20.36,75.0,28.57,0.0,50.0,31.97
U020,U057,0,2026-08-14 10:09:00,5.91,100.0,0.0,0.0,90.0,27.45
U020,U005,0,2026-08-31 12:16:00,4.71,60.0,14.29,100.0,100.0,31.5
U020,U089,0,2026-08-21 12:42:00,17.58,90.0,28.57,0.0,100.0,36.08
